,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.m0,kind,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,x0,x1,DiagonalCMA,DifferentialEvolution,modcma,modde,RCobyla,fid,dim
0,0.6133382074455156,0.6360115137169855,0.0161056513174705,0.05831334847228472,3.6207840529752615,0.6256841946321597,0.851410830507015,26.828231339513916,0.9219339022952674,-0.4620115976344673,-0.5976329334698237,1.0,0.061399999999999975,0.057199999999999994,1.0749403587344522,0.16639999999999994,0.1494,1.1138546960023314,0.1965,0.16439999999999994,1.1953239475758322,0.18966859927263474,0.7797941693727621,0.16861707960763422,0.24248488007556826,-0.10440543409899279,0.1942689474234807,0.5584500226289695,0.7519661343251869,0.8662832209805377,0.15755230412130977,0.26670865847348746,0.4153978480164108,0.7201009520132585,-4.2029943924421485,-2.3032960622514373,-1.2938395639462628,-0.6975185248359865,-4.31475005256004,-3.755686537498371,-2.9941500338830025,-1.4335566587762718,0.7179028161463836,-0.3953953953953952,0.3559559559559559,Affine,0.0,0.4253132473275798,0.0,0.0,0.0,0.0,0.0,0.0683113386173765,0.0,0.0,0.0,0.5063754140550436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,2,60,45,8,58,7,99,87,72,21,97,47,1,12,75,48,94,4,34,87,32,3,4.613284151666223,-0.8221918603221221,0.884637843137255,0.678750490196078,0.939178107024919,0.759352058823529,0.380383823529412,0,2
0,0.43582154785491883,0.6872726877217277,0.00404815073102192,0.05450260703802497,13.464634509194738,0.626420970395945,0.7094106248175243,3.0748043750898137,0.9747470219513895,-0.5364399852798052,-0.7914002618103965,1.0,0.0658,0.049,1.3435940330355225,0.06770000000000001,0.06470000000000001,1.046287550592028,0.23689999999999997,0.09020000000000002,2.6278333775887233,0.16265609238871437,0.7739852087086434,0.14729138331895933,0.24530104558169316,-0.09422342054483593,0.19888102251922,0.47704967206756804,0.7131532144948747,0.9195107111397307,0.1757191133745445,0.3568265586238377,0.5358034306107007,0.763612238129715,-4.178948968453908,-2.7279113796296004,-1.4963016236798026,-0.41986504612769265,-4.221708127950289,-3.2941314860625193,-2.3774646847394845,-1.2107108940071747,0.6932654248058857,-0.6316316316316314,0.35365365365365364,Affine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611096605202696,0.4222644217611833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216625917718547,0.0,0.0,0.0,0.0,92,68,57,76,24,33,3,4,30,70,49,30,72,82,16,53,6,24,92,96,89,28,21,8,2.211235189033422,0.9195108335889132,0.402714901960784,0.505945931372549,0.924503581542562,0.58971568627451,0.353857990196078,1,2
0,0.8863342482878467,0.7086015021562824,0.01552975365490832,0.07310308451250731,4.707312987292978,0.8948526915935636,0.9286432734653459,1.13300367106716,0.9474273749408837,-0.5720461773183891,-0.6140201455658854,1.0,0.07629999999999997,0.0539,1.41587761275647,0.06429999999999998,0.0634,1.0143029240018608,0.0653,0.0622,1.050085666246322,0.31179101375390705,0.7736600313658554,0.24170152866694683,0.2538891423889121,-0.08146678834897843,0.1567787790001673,0.5236413205057587,0.6420647265625246,0.7288113273495028,0.15056010988581706,0.34951910760686844,0.6047092973654198,0.6655183933612459,-4.398569205083836,-2.484871646370155,-1.867128465494158,-1.4146256240507156,-4.350562056247076,-3.3315538708362027,-2.0245552418161585,-1.7131096365688585,0.6939302099297343,-0.3793793793793792,0.40470470470470465,Affine,0.0,0.0,0.2584651851549305,0.0,0.1934392482962113,0.0968879499386714,0.0,0.1553459488095222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2958616678006644,0.0,0.0,36,9,40,85,51,1,63,68,74,26,40,3,9,32,67,4,6,73,26,2,66,85,86,3,1.7122191378332925,-3.751965374870827,0.849824656862745,0.781900294117647,0.718631762550098,0.847555588235294,0.459569411764706,2,2
0,0.5066316575107622,0.7871878533832264,0.032018230856261536,0.03485752137081448,1.0888919034828466,0.5410346099572145,0.8750983209765304,2.4836167353727943,0.9321520255291563,-0.9413953902522859,0.07301313606992925,3.2,0.08519999999999993,0.0998,0.8536464646464644,0.16439999999999996,0.12339999999999995,1.3336790783639845,0.2136,0.1091,1.9589376227843858,0.15991597784031641,0.6741108611069028,0.13092230093959953,0.3202388411022651,-0.1633776781479998,0.96414736088638,0.9175941696432564,1.0102181364723286,0.9976798215231426,0.8870840158955084,0.7201498705522289,0.9421938342861914,0.9618191925759586,-0.18701414947873013,-0.4298626056775509,0.05330542543921587,-0.01210285503900788,-0.5782986658527867,-1.4333248308967865,-0.296045732520766,-0.1955475971192516,0.7665705048789277,0.2852852852852852,0.5928928928928929,Affine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3990340564755964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009659435244036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,59,38,33,15,75,74,14,66,45,48,44,37,29,99,84,85,34,59,43,33,19,8,31,-2.624713266650651,-4.390144383828643,0.407443088235294,0.552342598039216,0.873352588411676,0.646016470588235,0.18722612745098,3,2
0,0.5330088321652768,0.7634803635646354,0.010508371886913961,0.04732190859807088,4.508366674541604,0.6018501272989039,0.7485186820946258,7.552789283493837,0.8847506437200792,-1.3027694139361674,1.2673289241140044,1.0,0.06979999999999999,0.027700000000000002,2.5233628965060664,0.10969999999999998,0.11459999999999997,0.9572102343573204,0.1822,0.1507,1.209547373017144,0.20099235204920057,0.6815895831844696,0.1800041429385179,0.3120185888682395,-0.16983790933849194,0.46325109403125475,0.574196462443604,0.6205378129990395,0.8348727053483305,0.3932133952766298,0.4975372748985308,0.5442976563871017,0.7717579557093365,-2.7998828369586493,-2.2211523057269735,-1.9794211765293988,-0.861367297496089,-3.107742050796164,-2.5734580669238944,-2.333963385744016,-1.1689815985424266,0.8176383828898173,0.17717717717717707,0.5687687687687688,Affine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2859966785759763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3959468472837508,0.0,0.0,0.1066186114134299,0.0,0.0,0.2114378627268429,0.0,11,8,25,20,38,7,77,39,74,72,20,81,11,16,42,96,90,52,37,52,9,35,67,95,-4.831710692885132,2.04266847914386,0.430713431372549,0.482442794117647,0.88338374930182,0.596453676470588,0.194067745098039,4,2
0,0.2842304771470891,0.6880735325786983,0.01986769498862026,0.033306391044112524,1.6764444174710964,0.2854638880006866,0.9183236828383452,6.31079515212368,0.9243509976535501,-0.8312512226090097,0.0859622193422052,1.0,0.06970000000000001,0.05960000000000001,1.178170718170718,0.11959999999999997,0.0935,1.279647737449504,0.3478,0.1162,2.998446299978344,0.15289279077248846,0.7209746264976384,0.12517407973614567,0.2741918211607453,-0.1311149636758105,0.20730177572134556,0.5774628857670795,0.7608270241224825,1.0497684991101592,0.17332745244652709,0.4498996582321569,0.644649727879063,0.9911773630357341,-4.13502297087514,-2.2041187801967763,-1.2476193057804834,0.25961234314083653,-4.233958556656245,-2.817448889738124,-1.820001256121326,-0.04518469630140041,0.7472972553808277,-0.24324324324324312,0.44004004004004005,Affine,0.0,0.1200416296298559,0.0,0.0,0.0,0.0,0.0,0.0279470681692305,0.0,0.0,0.0,0.0,0.0,0.0,0.2419769519323403,0.0,0.0,0.0,0.0,0.3171730824213664,0.2928612678472067,0.0,0.0,0.0,7,2,25,76,94,94,93,41,75,52,87,81,77,97,65,77,38,67,80,42,71,54,67,78,-2.333244630494016,-1.0798207746718085,0.963532647058823,0.789949607843137,0.970482111885234,0.815158725490196,0.865060245098039,5,2
0,0.5243558449203499,0.6502999980603986,0.01403105546670054,0.06521661386140234,4.648177412701861,0.5912292780852653,0.8581224129413396,39.52157998838338,0.9745257907550627,-0.5734094466616908,-0.757966702056065,1.0,0.06899999999999996,0.0127,5.45998445998446,0.059699999999999996,0.054400000000000004,1.0978753299789912,0.22199999999999992,0.11249999999999996,1.9741262176702048,0.18583609351320346,0.7728852710937958,0.16429050743357548,0.2481397996725911,-0.08804852255017298,0.44764961938141123,0.5520808354475968,0.6024200599864333,0.8427115810400746,0.39559952947545396,0.4911437435649891,0.5343130552193407,0.6994534647572624,-2.881274389725268,-2.3365209352553897,-2.0739316008951496,-0.8204775401262252,-3.0955431003445364,-2.6062010191266465,-2.3851027746870948,-1.5393051839381342,0.7356950323916254,-0.5595595595595594,0.37787787787787785,Affine,0.0,0.0,0.0,0.0,0.0,0.0,0.3267339109150616,0.0,0.0,0.0,0.6732660890849383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,80,4,31,13,27,59,65,64,25,37,75,73,71,14,94,24,67,48,91,65,38,90,70,-4.574713157309463,3.065373553282285,0.267379019607843,0.660456323529412,0.923117313892074,0.712558431372549,0.222627941176471,6,2
0,0.5228331450286334,0.7828892991086048,0.01281387345898446,0.05678534819591587,4.431616183590881,0.5495076085812709,0.8868848517923984,2.9864558193986706,0.9638658501741559,-1.38898823662215,0.8906493220498832,1.0,0.06870000000000001,0.010699999999999979,6.4613180678970155,0.097,0.07149999999999998,1.3572964946919461,0.2152,0.12109999999999999,1.7776456232490747,0.16359834776257828,0.7189403000153317,0.13905371606614114,0.2837837766743361,-0.07917106191598244,0.4493226218308071,0.6416682962317377,0.6667671000460315,0.937526598747277,0.3417072339926333,0.5451948880681681,0.5907810060715264,0.8488397868043549,-2.8725487876448574,-1.869198820380576,-1.7382724891459413,-0.32588535764318943,-3.371571249868827,-2.329374284843024,-2.0958933439364675,-0.7741925815598616,0.7494479802496462,-0.32332332332332314,0.47867867867867864,Affine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675330951168362,0.0,0.0,0.0,0.3165269258217741,0.1158551651275496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000848139338399,59,12,54,51,38,46,99,10,9,87,94,52,51,22,73,83,72,68,5,83,82,29,83,6,3.5237493819424834,1.796116264169335,0.308582009803922,0.435564166666667,0.566514977805215,0.544178921568627,0.251283039215686,7,2
0,0.660266136562023,0.7684329369813627,0.036018938086725835,0.0416215656817277,1.1555583636299294,0.7559378220234482,0.8512545771798992,2.021747538018672,0.9713286329696856,-1.426060543224052,1.6365466172265961,1.0,0.031,0.0112,2.7871620553359686,0.027999999999999997,0.0278,1.0080138663058225,0.175,0.12719999999999995,1.3758030292543375,0.21701321846873123,0.7630843292018296,0.19311263809460907,0.25363638677392575,-0.08148328894935383,0.1630558390618897,0.2576222206261808,0.35479699930798086,0.6491856419462938,0.15570590861114075,0.243859148504081,0.33703654282056184,0.5653864475380278,-4.365826563787007,-3.8725312843583053,-3.3656299144272275,-1.8299842248533538,-4.32420923960578,-3.872716811594234,-3.3954913346441247,-2.2259549795500333,0.7401220687761928,-0.5595595595595594,0.39969969969969965,Affine,0.275254417813246,0.0,0.0,0.0,0.0,0.2571956934847647,0.2024711520874396,0.0,0.0,0.0,0.0,0.2650787366145497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,58,43,69,72,91,37,58,37,82,26,42,16,22,23,47,67,3,12,23,11,52,50,57,-0.9574683354003808,-3.2373315301070305,0.910235294117647,0.793161911764706,0.966931583227994,0.847655196078431,0.531990098039216,8,2
0,0.8646490028087019,0.7435199735828781,0.03669925402318667,0.05631121518363382,1.5343930979374891,0.933735629653379,0.9180467710530824,2.028031876831842,0.9965869657783271,-0.927691450751154,0.2964620060045786,1.0,0.0315,0.0118,2.682770562770563,0.0085,0.0182,0.46823851823851814,0.035199999999999954,0.035299999999999956,0.9971014492753623,0.2533172846525588,0.7950880076015645,0.18132398460490223,0.23963274224116868,-0.0677526337120675,0.1668469966042337,0.26135415850142596,0.36624277102556235,0.582050573977155,0.1560231355143768,0.24446901914736316,0.3427594204569612,0.5433004433650963,-4.346050114733041,-3.853063900485978,-3.305923849992566,-2.180186714256501,-4.32258329906727,-3.869592187140866,-3.366180256112423,-2.339072548989755,0.7028870681986179,-0.8278278278278274,0.34654654654654654,Affine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7429741887186349,0.0,0.2570258112813651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,46,29,70,46,16,98,51,11,11,63,53,89,58,19,32,50,72,55,76,41,99,70,21,1.986186633839151,3.194188270343922,0.364594509803922,0.461829607843137,0.904753750575693,0.544139901960784,0.35934181372549,9,2
